"","text.X","text.text","emotion","polarity"
"281",281," entire uselection watched dad like teenage girl watching keeping kardashians uf","joy","positive"
"282",282,"“gutpunch “ really jkenney alberta guys sleeping hoping miracle uselection re… httpstcoxgnskyvr","unknown","positive"
"283",283,"question now uselection melania will divorced within months trump maga melaniatrump","unknown","neutral"
"284",284," black woman now us vice president racism now officially defeated uselection biden harris kamalaharris","unknown","negative"
"285",285," enthusiastic joe bidens candidacy president challenges need cover pro… httpstcomxeyxb","joy","neutral"
"286",286,"rt paperandpatter today good day bidenharrisinauguration inauguration thpresident joebiden election election usel…","joy","negative"
"287",287,"us rejoin parisagreement amp rolled back emission standards big step climateaction worlds nd l… httpstcolkvnwsg","unknown","positive"
"288",288," noon wednesday january trump gone bidenharris uselection httpstcowewmjxg","unknown","positive"
"289",289,"rt srbaeksa oranglaut global threat farleft wing socialist nutjobs amp blmantifaterroristthugs now upon us coordi…","unknown","negative"
"290",290,"oranglaut global threat farleft wing socialist nutjobs amp blmantifaterroristthugs now upon us… httpstcoqebeune","unknown","negative"
"291",291,"worldupdate ufeus senate confirms avril haines director national intelligence usa joebiden uselection","unknown","neutral"
"292",292,"today good day bidenharrisinauguration inauguration thpresident joebiden election election… httpstcokjgnlhfb","joy","negative"
"293",293,"uff madam vice president kamalaharris congress uselection uselection whitehouse biden femaleempowerment… httpstcouesyxinmp","unknown","negative"
"294",294,"rt phntombrin exciting day usa joebiden kamalaharris new age will hopefully begin much love usa fr…","joy","positive"
"295",295," comes uselection hangover buckleup","unknown","positive"
"296",296,"rt dzaneza anything learned uselection whoever controls mass media social media controls th…","unknown","positive"
"297",297,"joebiden yes stole uselection trumpever","unknown","neutral"
"298",298,"rt prasoon love twitter election uselection electionday httpstcopabetjcby","joy","neutral"
"299",299,"americast many million people voted donald trump actually believe uselection stolen","unknown","neutral"
"300",300," sad day american comedians uselection","sadness","negative"
"301",301,"breakingnews usa real president now httpstcovvwvkbmea congratulation usa welcome back t… httpstcocgtsasyhv","unknown","positive"
"302",302,"congrats joebiden amp kamalaharris wish best thpresident uselection","unknown","positive"
"303",303,"rt baymads history us presidents ufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffeufufuffc usele…","unknown","positive"
"304",304,"joe biden will sworn th president united states later today assuming helm country b… httpstcokhbqsuiw","unknown","positive"
"305",305,"donald trump left letter joe biden white house uf donaldtrump joebiden uselection httpstcouwmter","unknown","neutral"
"306",306,"watching usa recent presidential candidates age think trend remains next elections will … httpstcoytjbvprwh","unknown","positive"
"307",307,"humans tendency envy others happiness also celebrate like hoping o… httpstcojwowbnjpu","joy","positive"
"308",308,"rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…","joy","positive"
"309",309,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"310",310," know message god sent people israel now people including americans announci… httpstcorqleanqw","sadness","positive"
"311",311,"even involves taking lives masses tell expect smooth administration … httpstcotorqyaje","joy","positive"
"312",312," latest military tribunals uselection usjustice usmilitary maga","unknown","positive"
"313",313,"felicitation inauguration ceremony presidentelect joe biden vice president kamala harris swor… httpstcozswlrc","unknown","negative"
"314",314,"rt thisiscmbarnes either good evil play prick sequel will people thedr…","anger","neutral"
"315",315,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"316",316," anything learned uselection whoever controls mass media social media… httpstcorufuxizp","unknown","positive"
"317",317,"congratulations mr joe biden us president overwhelming watch speakers ceremony great val… httpstcokssamjqk","joy","negative"
"318",318,"rt ofrancoaleman uf la femme welcome america httpstcoxmlyqditpp via youtube musique music musicvideo french uselection…","unknown","positive"
"319",319," usa got new president congrats joebiden god bless americauselection hell election… httpstcowyvhia","sadness","neutral"
"320",320,"must read former american president donald trump last statement matters arising bidenharrisinauguration… httpstcoyupzdor","unknown","neutral"
"321",321,"throughout uselection said eould believe change see biden take oath happened unbelievably happened","unknown","negative"
"322",322,"say like trump watching makes laugh entertaining think uselection","joy","positive"
"323",323,"cheers president biden first woman vice president bidenharris uselectionuffauff httpstcomlzzpsu","unknown","negative"
"324",324," new us administration really offer hope compassion decency prior uselection joe biden p… httpstcopcifzlws","unknown","positive"
"325",325,"rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…","joy","positive"
"326",326,"rt geetamohan drsjaishankar uselection trump won us audience analyse change came indian …","unknown","positive"
"327",327,"funny yanks none clue saying trump answer tell now biden definitely uselection","unknown","positive"
"328",328,"rt mattwareham uselection danielrosney louisiana texas talking real people thoughts ahead bi…","unknown","positive"
"329",329,"rt iamykona uncensored d anthemufa raybekah ufb link httpstcooryccnrrq ericapepperdem layconlookatme nengiiscoming j…","unknown","positive"
"330",330," day new hope made celebrate new journey will written american history g… httpstcojbqlfnzflu","unknown","positive"
"331",331,"rt svnwnk clowndown finally uselection","unknown","positive"
"332",332,"joe biden giving speech way president years self centred angry divisive trump speeches… httpstcomqvflppmz","anger","negative"
"333",333," right dissent peacefully words uffbidenharris inaugrationday uselection","unknown","neutral"
"334",334,"congratulations idiots uselection","unknown","neutral"
"335",335,"update kamala harris makes history sworn first woman vice president usa kamalaharris uselection","unknown","neutral"
"336",336,"inaugurationday us crossroad italian documentary uselection now available online ta… httpstcoxactiuak","unknown","positive"
"337",337,"rt audreyeager zoom call back inaugurationday joebiden kamalaharris cnn cnnelection uselection pabloohana hannah…","unknown","negative"
"338",338,"endpolicebrutality endsars endbadgoveranceinnigeria endswat endbadgovernanceinnigeria davido burnaboy… httpstcopecpylser","unknown","positive"
"339",339,"get biden time undo last years uffauff uffauff uffauff uselection byebyetrump","sadness","negative"
"340",340,"least america back safer hands america uselection bidenharrisinauguration w","unknown","neutral"
"341",341,"come joe back net president biden fucking ace uselection","unknown","positive"
"342",342," zoom call back inaugurationday joebiden kamalaharris cnn cnnelection uselection pabloohana… httpstcocsbanhzow","unknown","negative"
"343",343,"jennifer lopez sings president joe biden inauguration jenniferlopez uselection joebiden httpstcozeatlqpm","unknown","positive"
"344",344,"uselection lady gaga’s rendition star spangled banner uffauff awesome ladygaga","unknown","positive"
"345",345,"lady gaga sings national anthem joe biden president inauguration uselection ladygaga httpstcoxekpblmygx","unknown","negative"
"346",346," earth lady gaga wearing ufuf bidenharrisinauguration uselection bidenharris","unknown","negative"
"347",347,"rt arctikasylum joebiden realdonaldtrump congratulations goodbye cheeto man let door hit way joebiden u…","unknown","neutral"
"348",348,"lady gaga fairly blasted ’m now tears uselection","unknown","negative"
"349",349,"joebiden inaugurated today th us president potus congs ufaa uselection httpstcotzlarzxgr","unknown","positive"
"350",350,"see ya donald definitely won’t missed donaldjtrump uselection","unknown","positive"
"351",351,"rt phntombrin exciting day usa joebiden kamalaharris new age will hopefully begin much love usa fr…","joy","positive"
"352",352,"exciting day usa joebiden kamalaharris new age will hopefully begin much love … httpstcoaxbhtojs","joy","positive"
"353",353,"presidentelectbiden massive job ahead inaugurated today us polarised moment… httpstcoxzlygvegvt","unknown","negative"
"354",354,"day made data model us election data powerbi daysofdata datascience mspowerbi uselection","unknown","negative"
"355",355,"taxi trump new president getting sworn previous one waiting taxi… httpstcothahyspib","unknown","positive"
"356",356,"follow live coverage transition power united states donald trump joe biden uselection… httpstcowhnsylfat","joy","positive"
"357",357,"rt carlowcollege listen back great piece kclrfm ericderr talking suenunnradio joebiden reaching …","joy","positive"
"358",358,"rt carlowcollege listen back great piece kclrfm ericderr talking suenunnradio joebiden reaching …","joy","positive"
"359",359,"rt ronbrown way top year usa best seats house nickbryantny legendary bbc cameraman ron skean…","surprise","positive"
"360",360,"rt duasahildua reuters th amendment can used remove trump check interesting blog https…","unknown","positive"
"361",361,"well done skynews leaving mics find presenters really think uselection… httpstcordzvhxldw","unknown","positive"
"362",362,"rt geetamohan drsjaishankar uselection trump won us audience analyse change came indian …","unknown","positive"
"363",363,"reuters th amendment can used remove trump check interesting blog… httpstcocgafjdhqt","unknown","positive"
"364",364,"garybarlow happy birthday grandpa feel milestone birthday falling historic inau… httpstconcgqoqjqms","joy","positive"
"365",365,"rt startimesghana us presidential inauguration watch inauguration joe biden th president united states america…","unknown","negative"
"366",366,"rt economictimes us election results crowd gathers iconic times square new york celebrate joe bidens win live updates http…","joy","neutral"
"367",367,"nightmareisover mock nytimes frontpage widely circulated mid uselection crea… httpstcotombaslyam","unknown","negative"
"368",368,"rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…","joy","positive"
"369",369,"rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…","joy","positive"
"370",370," way top year usa best seats house nickbryantny legendary bbc cameraman r… httpstcowvnfevaxi","surprise","positive"
"371",371," will newsreaders itvnews bbcnews channelnews amp skynews stop repeating amount votes loser… httpstcocubtqhokqj","unknown","positive"
"372",372,"rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…","joy","positive"
"373",373,"rt theresaafallon german der spiegel’s take outcome uselection right trump cover httpstcoqtkcxvxck","unknown","positive"
"374",374,"inauguration potus follows tradition leaves note joebiden kamalaharris uselection httpstcobxbgkfz","unknown","positive"
"375",375," seems innocent proven guilty applies uselection authorities really investigate check ballots","sadness","neutral"
"376",376,"rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…","joy","positive"
"377",377,"joebiden congrats america corrupted system new wrap america democracy uselection","unknown","positive"
"378",378,"rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…","joy","positive"
"379",379,"rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…","joy","positive"
"380",380,"today first thing comes mind maybe now mother sisters will able see live … httpstcosoziphwq","joy","positive"
"381",381," evidence voter fraud beg differ uselection httpstcoonopuisero","unknown","negative"
"382",382,"rt subdudelondon thought done realdonaldtrump pieces still looks close call world desperately awai…","joy","negative"
